교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통);,지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통);,공사형태 (공통);,지도표출구분,X좌표,Y좌표,위도,경도
1337,,중앙사약국,1,0.0,540.0,846-11대,260.0,260.0,1,2,,,,1.0,105.0,82-0000001562,,2035522.0,1562,10300.0,,N,191437.929150841,539394.724841295,37.45392420818952,126.9032313059562
1338,,시흥초교후문(연등),1,1340.0,540.0,1000-85도,,260.0,1,2,,,,1.0,105.0,82-0000002363,,,2363,10300.0,,N,191695.557882968,539369.531110093,37.4536995579114,126.9061433110001
1340,,시흥초교후문,1,0.0,540.0,810-30대,260.0,260.0,1,2,,,,1.0,105.0,82-0000000383,,2035952.0,383,10300.0,,N,191674.445951821,539516.479515158,37.45502339077233,126.9059030458408
1341,,안씨묘입구(연등)2,1,1342.0,540.0,812-2대,260.0,260.0,1,2,,,,1.0,105.0,82-0000003587,,2035982.0,3587,10300.0,,N,191653.104624166,539651.175087195,37.45623682132148,126.9056603181118
1342,,안씨묘입구,1,0.0,540.0,1000-18도,260.0,260.0,1,2,,,,1.0,105.0,82-0000004583,,2036902.0,4583,10300.0,,N,191637.837251324,539762.167238038,37.45723673550381,126.9054865023655
1343,,법원단지,1,0.0,540.0,1000-2도,260.0,260.0,1,2,,,,1.0,105.0,82-0000000218,,2036852.0,218,10300.0,,N,191595.598894559,540014.00202815,37.45950541252818,126.9050062330512
1344,,법원단지(연등),1,1343.0,540.0,378-317대,260.0,260.0,1,2,,,,1.0,105.0,82-0000002229,,2036782.0,2229,10300.0,,N,191571.451174818,540172.830322509,37.46093625315569,126.9047314796045
1345,,시흥4동사거리,3,0.0,540.0,1081-20도,,260.0,1,2,,,,1.0,105.0,82-0000001563,,,1563,10200.0,,N,191511.371234372,540373.877522168,37.46274716051698,126.9040500777378
1346,,시흥4동사거리(연등)1,1,1345.0,540.0,1039-2대,260.0,260.0,1,2,,,,1.0,105.0,82-0000002143,,2037542.0,2143,10200.0,,N,191443.751898882,540499.372882159,37.46387726376403,126.9032842974286
1347,,정훈단지,1,0.0,540.0,1022-54대,260.0,260.0,1,2,,,,1.0,105.0,82-0000003928,,2037462.0,3928,10200.0,,N,191399.36703648,540583.947078914,37.46463887430426,126.9027816063384
1348,,정훈단지(연등),1,1347.0,540.0,1021-31대,260.0,260.0,1,2,,,,1.0,105.0,82-0000004363,,2037382.0,4363,10200.0,,N,191351.442783125,540673.335447263,37.46544382567379,126.9022388402309
1349,,독산4동사거리,3,0.0,540.0,1081-16도,,260.0,1,2,,,,1.0,105.0,82-0000005298,,,5298,10200.0,,N,191306.261835278,540786.76649179,37.46646542711899,126.9017267888566
1350,,독산4동사거리(연등)1,1,1349.0,540.0,1081-15도,260.0,260.0,1,2,,,,1.0,105.0,82-0000005291,,2038333.0,5291,10200.0,,N,191329.542801601,540931.015481545,37.46776534326199,126.9019882576376
1351,,독산4동사거리(연등)2,1,1349.0,540.0,1081-15도,260.0,260.0,1,2,,,,1.0,105.0,82-0000001575,,2038362.0,1575,10200.0,,N,191359.14583261,541052.31273412,37.468858520304,126.9023214709147
1352,,독산4동삼거리(연등)2,3,116.0,540.0,193-32도,260.0,260.0,1,2,,,,1.0,105.0,82-0000002485,,2038482.0,2485,10200.0,,N,191390.660577151,541165.208192571,37.46987601306175,126.9026764028155
1353,,남서울주유소(연등),1,1354.0,540.0,974-20대,260.0,260.0,1,2,,,,1.0,105.0,82-0000002376,,2039533.0,2376,10200.0,,N,191436.823091168,541439.921035782,37.472351629843,126.9031950506179
1354,,남서울주유소,1,0.0,540.0,961-13대,260.0,260.0,1,2,,,,1.0,105.0,82-0000004168,,2039572.0,4168,10200.0,,N,191451.409956109,541613.756122822,37.47391803451248,126.9033579352788
1355,,문성골길입구(연등),1,1356.0,540.0,961-6대,260.0,260.0,1,2,,,,1.0,105.0,82-0000002377,,2039592.0,2377,10200.0,,N,191460.564005911,541731.017194929,37.47497465162759,126.9034600629967
1356,,문성골길입구,2,0.0,540.0,995-5도,,260.0,1,2,,,,1.0,105.0,82-0000002144,,,2144,10200.0,,N,191473.463395169,541870.587718006,37.47623231306878,126.9036042776911
1357,,서원빌딩,1,0.0,540.0,995-2도,,260.0,1,2,,,,1.0,105.0,82-0000003804,,,3804,10200.0,,N,191487.106988152,542071.425897396,37.47804200756423,126.9037562028605
1358,,문성중(연등)1,1,1360.0,540.0,898-13대,260.0,260.0,1,2,,,,1.0,105.0,82-0000004615,,2140032.0,4615,10200.0,,N,191685.193477423,541902.180866658,37.47651889859116,126.9059976068528
