시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,반경500m_사고지점수,반경500m_사고건수합계
초등학교,강일초등학교,서울특별시 강동구 아리수로98길 24,서울특별시 강동구 강일동 685,37.56525568,127.1772125,서울특별시 강동구청,강동경찰서,Y,3,25,2023-08-18,3240000,서울특별시 강동구,3,12
초등학교,선사초등학교,서울특별시 강동구 올림픽로 837,서울특별시 강동구 암사2동 186-1,37.5558399,127.128196,서울특별시 강동구청,강동경찰서,Y,3,10,2023-08-18,3240000,서울특별시 강동구,3,18
초등학교,둔촌초등학교,서울특별시 강동구 양재대로88길 27,서울특별시 강동구 둔촌1동 170-2,37.52624852,127.1374348,서울특별시 강동구청,강동경찰서,Y,2,20,2023-08-18,3240000,서울특별시 강동구,12,57
초등학교,한산초등학교,서울특별시 강동구 풍성로 261,서울특별시 강동구 둔촌2동 149,37.52869458,127.1410769,서울특별시 강동구청,강동경찰서,Y,7,10,2023-08-18,3240000,서울특별시 강동구,6,33
초등학교,신암초등학교,서울특별시 강동구 올림픽로93길 33-16,서울특별시 강동구 암사2동 517,37.55002367,127.1244044,서울특별시 강동구청,강동경찰서,Y,7,6,2023-08-18,3240000,서울특별시 강동구,9,45
초등학교,명일초등학교,서울특별시 강동구 고덕로38길 8,서울특별시 강동구 암사1동 418-18,37.55454236,127.1425695,서울특별시 강동구청,강동경찰서,Y,5,7,2023-08-18,3240000,서울특별시 강동구,3,15
초등학교,명원초등학교,서울특별시 강동구 명일로 364,서울특별시 강동구 명일2동 39,37.5512241,127.1505002,서울특별시 강동구청,강동경찰서,Y,2,15,2023-08-18,3240000,서울특별시 강동구,3,9
초등학교,천동초등학교,서울특별시 강동구 성안로 200,서울특별시 강동구 길동 371-1,37.5410159,127.1378287,서울특별시 강동구청,강동경찰서,Y,9,6,2023-08-18,3240000,서울특별시 강동구,12,54
초등학교,위례초등학교,서울특별시 강동구 명일로 23,서울특별시 강동구 둔촌1동 176-2,37.5223146,127.1394366,서울특별시 강동구청,강동경찰서,Y,3,18,2023-08-18,3240000,서울특별시 강동구,3,21
초등학교,길동초등학교,서울특별시 강동구 양재대로116길 57,서울특별시 강동구 길동 362,37.5380968,127.1435022,서울특별시 강동구청,강동경찰서,Y,6,6,2023-08-18,3240000,서울특별시 강동구,12,57
초등학교,강덕초등학교,서울특별시 강동구 동남로82길 94-54,서울특별시 강동구 고덕2동 222,37.55954748,127.1604836,서울특별시 강동구청,강동경찰서,Y,4,8,2023-08-18,3240000,서울특별시 강동구,3,12
초등학교,천호초등학교,서울특별시 강동구 구천면로 310-11,서울특별시 강동구 천호1동 230-9,37.54771897,127.1365923,서울특별시 강동구청,강동경찰서,Y,7,6,2023-08-18,3240000,서울특별시 강동구,15,60
유치원,둔촌유치원,서울특별시 강동구 풍성로63길 73,서울특별시 강동구 둔촌2동 438,37.531341,127.1397064,서울특별시 강동구청,강동경찰서,Y,1,6,2023-08-18,3240000,서울특별시 강동구,24,132
유치원,구강사유치원,서울특별시 강동구 천중로 64,서울특별시 강동구 천호2동 363,37.5448184,127.1288199,서울특별시 강동구청,강동경찰서,Y,2,6,2023-08-18,3240000,서울특별시 강동구,9,36
유치원,예슬유치원,서울특별시 강동구 상암로 11,서울특별시 강동구 암사2동 509,37.55344749,127.1256829,서울특별시 강동구청,강동경찰서,Y,1,8,2023-08-18,3240000,서울특별시 강동구,6,33
유치원,오송유치원,서울특별시 강동구 구천면로39길 26,서울특별시 강동구 천호2동 302-10,37.5458079,127.131908,서울특별시 강동구청,강동경찰서,Y,2,6,2023-08-18,3240000,서울특별시 강동구,12,54
유치원,은새유치원,서울특별시 강동구 고덕로62길 58,서울특별시 강동구 명일2동 42,37.55236741,127.1526193,서울특별시 강동구청,강동경찰서,Y,1,12,2023-08-18,3240000,서울특별시 강동구,3,9
유치원,유정유치원,서울특별시 강동구 강동대로55길 83,서울특별시 강동구 성내3동 430-6,37.525911,127.1337598,서울특별시 강동구청,강동경찰서,Y,1,6,2023-08-18,3240000,서울특별시 강동구,21,99
유치원,녹원유치원,서울특별시 강동구 상암로63길 39-10,서울특별시 강동구 명일2동 242-3,37.54851639,127.1535579,서울특별시 강동구청,강동경찰서,N,0,6,2023-08-18,3240000,서울특별시 강동구,6,21
유치원,가람유치원,서울특별시 강동구 상암로63길 39-10,서울특별시 강동구 명일2동 237-1,37.54851639,127.1535579,서울특별시 강동구청,강동경찰서,Y,6,6,2023-08-18,3240000,서울특별시 강동구,6,21
유치원,천호유치원,서울특별시 강동구 구천면로 238,서울특별시 강동구 천호3동 397-74,37.5416383,127.1308643,서울특별시 강동구청,강동경찰서,Y,1,15,2023-08-18,3240000,서울특별시 강동구,15,69
